Bleaching,Ocean,Year,Depth,Storms,HumanImpact,Siltation,Dynamite,Poison,Sewage,Industrial,Commercial
0,Pacific,2009,4.0,0,1,2,0,0,1,2,1
0,Pacific,2009,4.0,0,1,2,0,0,1,2,1
0,Pacific,2009,3.0,0,1,2,0,0,1,2,1
0,Pacific,2009,3.0,0,1,2,0,0,1,2,1
0,Pacific,2009,3.0,0,1,2,0,0,1,2,1
0,Pacific,2007,10.0,0,2,1,0,0,2,0,0
0,Pacific,2007,10.0,0,2,1,0,0,2,0,0
0,Pacific,2008,5.5,0,2,1,0,0,2,0,0
0,Pacific,2009,6.4,0,2,1,0,0,2,0,0
0,Pacific,2012,6.0,0,2,0,0,0,0,0,2
0,Pacific,2012,6.0,0,1,0,0,0,1,0,0
0,Pacific,2012,6.0,0,1,0,0,0,0,0,2
0,Pacific,2012,9.0,0,1,0,0,0,0,0,2
0,Pacific,2004,10.0,0,0,0,0,0,0,0,0
0,Pacific,2012,7.0,0,1,0,0,0,0,0,2
0,Pacific,2009,5.6,1,1,0,0,0,1,0,2
0,Pacific,2009,8.5,1,1,0,0,0,1,0,2
0,Pacific,2007,6.0,1,1,0,0,0,2,0,1
0,Pacific,2009,5.1,1,1,0,0,0,2,0,1
0,Pacific,2009,12.0,1,1,0,0,0,1,0,2
0,Pacific,2009,5.4,1,1,0,0,0,1,0,2
0,Pacific,2009,7.3,1,1,0,0,0,1,0,2
0,Pacific,2004,11.2,1,2,0,0,0,0,0,0
0,Pacific,2012,5.0,1,3,3,0,0,2,1,2
0,Pacific,2012,4.0,1,3,3,0,0,2,1,2
0,Pacific,2012,4.5,1,3,3,0,0,2,1,2
0,Pacific,2007,6.0,1,1,0,0,0,1,0,2
0,Pacific,2009,9.0,1,1,0,0,0,1,0,2
0,Pacific,2013,3.5,1,1,1,0,0,0,0,1
0,Pacific,2012,10.0,0,1,0,0,0,0,0,2
0,Pacific,2012,10.0,0,1,0,0,0,0,0,2
0,Pacific,2002,2.0,0,1,0,1,0,0,1,0
0,Pacific,2002,6.0,0,1,0,1,0,0,1,0
0,Pacific,2003,2.0,0,1,0,1,0,1,1,0
0,Pacific,2003,6.0,0,1,0,1,0,1,1,0
0,Pacific,2002,1.5,0,1,0,0,1,1,1,0
0,Pacific,2002,4.5,0,1,0,0,1,1,1,0
0,Pacific,2003,2.0,0,1,0,0,1,1,1,0
0,Pacific,2003,5.0,0,1,0,0,1,1,1,0
0,Pacific,2002,2.5,0,1,0,0,1,1,1,0
0,Pacific,2002,4.5,0,1,0,0,1,1,1,0
0,Pacific,2003,2.5,0,1,0,0,1,1,1,0
0,Pacific,2003,4.5,0,1,0,0,1,1,1,0
0,Pacific,2002,2.5,0,1,0,0,1,1,1,0
0,Pacific,2002,5.5,0,1,0,0,1,1,1,0
0,Pacific,2003,2.5,0,1,0,0,1,1,1,0
0,Pacific,2003,5.5,0,1,0,0,1,1,1,0
0,Pacific,2002,2.0,0,1,0,0,1,1,1,0
0,Pacific,2002,5.0,0,1,0,0,1,1,1,0
0,Pacific,2003,1.5,0,1,0,0,1,1,1,0
0,Pacific,2003,4.5,0,1,0,0,1,1,1,0
0,Pacific,2004,7.0,1,2,1,0,0,2,1,1
0,Pacific,2006,9.0,0,2,2,0,0,2,1,0
0,Pacific,2007,8.0,1,2,1,0,0,1,0,0
0,Pacific,2007,7.0,1,2,2,0,0,2,0,0
0,Pacific,2007,8.0,1,2,1,0,0,1,0,0
0,Pacific,2008,6.0,1,2,1,0,0,1,0,0
0,Pacific,2008,6.0,1,2,1,0,0,1,0,0
0,Pacific,2008,8.0,1,2,1,0,0,1,0,0
0,Pacific,2008,8.0,1,2,1,0,0,1,0,0
0,Pacific,2008,6.5,1,2,1,0,0,1,0,0
0,Pacific,2009,7.7,1,2,1,0,0,1,0,0
0,Pacific,2012,11.0,0,2,2,0,0,2,1,1
0,Pacific,2014,6.0,0,0,0,0,0,0,0,0
0,Pacific,2012,5.0,1,1,1,0,0,1,0,2
0,Pacific,2012,11.0,1,1,1,0,0,1,0,2
0,Pacific,2012,5.0,1,1,0,0,0,1,0,2
0,Pacific,2012,9.0,1,1,0,0,0,1,0,2
0,Pacific,2012,4.0,1,1,0,0,0,1,0,3
0,Pacific,2012,7.0,1,1,0,0,0,1,0,3
0,Pacific,2013,5.5,0,1,0,0,0,1,0,0
0,Pacific,2012,4.0,1,1,0,0,0,1,0,2
0,Pacific,2012,7.0,1,1,0,0,0,1,0,2
0,Pacific,2012,5.0,1,1,0,0,0,1,0,2
0,Pacific,2012,8.0,1,1,0,0,0,1,0,2
0,Pacific,2013,6.0,0,1,0,0,0,1,0,0
0,Pacific,2014,6.0,0,1,0,0,0,1,0,0
0,Pacific,2012,4.0,1,1,0,0,0,1,0,2
0,Pacific,2012,5.0,1,1,0,0,0,1,0,2
0,Pacific,2013,6.5,0,1,0,0,0,1,0,0
0,Pacific,2012,4.0,1,0,0,0,0,1,0,2
0,Pacific,2012,7.0,1,0,0,0,0,1,0,2
0,Pacific,2013,6.0,0,1,0,0,0,1,0,0
0,Pacific,2012,4.0,0,1,1,0,0,1,0,2
0,Pacific,2012,4.0,1,1,0,0,0,1,0,2
0,Pacific,2012,8.0,1,1,0,0,0,1,0,2
0,Pacific,2012,5.0,0,1,0,0,0,1,0,3
0,Pacific,2012,11.0,0,1,0,0,0,1,0,3
0,Pacific,2012,7.0,1,2,0,0,0,1,0,3
0,Pacific,2012,4.0,0,2,1,0,0,1,0,2
0,Pacific,2012,11.0,0,2,1,0,0,1,0,2
0,Pacific,2002,2.0,1,1,0,0,1,1,1,0
0,Pacific,2002,5.0,1,1,0,0,1,1,1,0
0,Pacific,2003,2.0,1,1,0,0,1,1,1,0
0,Pacific,2003,5.0,1,1,0,0,1,1,1,0
0,Pacific,2006,5.0,0,1,0,0,0,1,0,1
0,Pacific,2006,10.0,0,1,0,0,0,1,0,1
0,Pacific,2006,10.0,0,1,0,0,0,1,0,1
0,Pacific,2009,8.0,1,2,0,0,0,2,1,1
0,Pacific,2009,10.0,1,2,0,0,0,2,1,1
0,Pacific,2008,8.5,1,2,0,0,0,0,0,0
0,Pacific,2010,6.5,1,1,1,0,0,1,0,2
0,Pacific,2009,7.9,1,1,1,0,0,1,0,2
0,Pacific,2009,3.0,0,1,1,0,0,2,0,2
0,Pacific,2008,5.0,1,2,1,0,0,1,0,2
0,Pacific,2009,9.8,1,1,1,0,0,1,0,2
0,Pacific,2009,5.0,1,1,1,0,0,1,0,2
0,Pacific,2009,3.6,1,1,1,0,0,1,0,2
0,Pacific,2009,3.5,1,1,1,0,0,1,0,2
0,Pacific,2009,7.0,1,1,1,0,0,1,0,2
0,Pacific,2012,9.0,1,2,1,0,0,1,0,2
0,Pacific,2012,10.0,1,2,1,0,0,1,0,2
0,Pacific,2012,5.0,1,1,1,0,0,1,0,2
0,Pacific,2012,9.5,1,1,1,0,0,1,0,2
0,Pacific,2007,8.0,1,2,0,0,0,0,0,0
0,Pacific,2007,7.5,1,2,0,0,0,0,0,0
0,Pacific,2008,7.0,1,2,0,0,0,0,0,0
0,Pacific,2008,7.0,1,2,0,0,0,0,0,0
0,Pacific,2009,7.0,0,3,0,0,0,2,1,1
0,Pacific,2009,9.0,0,3,0,0,0,2,1,1
0,Pacific,2012,5.0,1,2,1,0,0,1,0,2
0,Pacific,2012,9.0,1,2,1,0,0,1,0,2
0,Pacific,2010,6.5,1,1,1,0,0,1,0,2
0,Pacific,2007,8.0,1,1,1,0,0,0,0,1
0,Pacific,2007,7.5,1,1,1,0,0,0,0,1
0,Pacific,2008,6.5,1,1,1,0,0,0,0,1
0,Pacific,2008,6.4,1,1,1,0,0,0,0,1
0,Pacific,2009,8.0,1,1,1,0,0,0,0,1
0,Pacific,2014,3.0,1,2,0,0,0,1,0,0
0,Pacific,2014,4.0,1,2,0,0,0,1,0,0
0,Pacific,2012,5.0,0,2,1,0,0,2,0,1
0,Pacific,2012,9.0,0,2,1,0,0,2,0,1
0,Pacific,2008,7.0,1,2,1,0,0,1,0,0
0,Pacific,2008,7.0,1,2,1,0,0,1,0,0
0,Pacific,2008,7.0,1,2,1,0,0,1,0,0
0,Pacific,2008,7.0,1,2,1,0,0,1,0,0
